 36
 1.468   4.51   1.58  69.8
 2.468   4.51   1.58  76.0
 3.468   4.51   1.58  72.2
 4.468   4.51   1.58  58.9
 5.468   4.51   1.58  55.3
 6.468   4.51   1.58  65.0
 7.468   4.51   1.58  75.0
 8.468   4.51   1.58  72.6
 9.468   4.51   1.58  75.1
10.468   4.51   1.58  83.7
11.468   4.51   1.58  79.9
12.468   4.51   1.58  73.6
12.718   4.51   1.58  82.9
12.968   4.51   1.58  79.4
13.218   4.51   1.58  81.6
13.468   4.51   1.58  80.0
13.718   4.51   1.58  92.9
13.968   4.51   1.58  90.2
14.218   4.51   1.58  81.4
14.468   4.51   1.58  85.2
14.718   4.51   1.58  91.5
14.968   4.51   1.58  86.2
15.218   4.51   1.58  71.1
15.468   4.51   1.58  87.6
15.718   4.51   1.58  82.3
15.968   4.51   1.58  80.8
16.218   4.51   1.58  81.7
16.468   4.51   1.58  76.6
16.718   4.51   1.58  79.9
16.968   4.51   1.58  78.5
17.218   4.51   1.58  76.8
17.468   4.51   1.58  79.4
17.718   4.51   1.58  79.2
17.968   4.51   1.58  77.0
18.218   4.51   1.58  83.2
18.468   4.51   1.58  81.6
