 36
 1.468   4.51   1.58  76.0
 2.468   4.51   1.58  80.5
 3.468   4.51   1.58  75.0
 4.468   4.51   1.58  59.2
 5.468   4.51   1.58  62.0
 6.468   4.51   1.58  74.0
 7.468   4.51   1.58  67.0
 8.468   4.51   1.58  65.7
 9.468   4.51   1.58  68.1
10.468   4.51   1.58  77.8
11.468   4.51   1.58  81.7
12.468   4.51   1.58  80.1
12.718   4.51   1.58  79.8
12.968   4.51   1.58  77.3
13.218   4.51   1.58  78.9
13.468   4.51   1.58  81.4
13.718   4.51   1.58  82.9
13.968   4.51   1.58  80.9
14.218   4.51   1.58  84.9
14.468   4.51   1.58  80.8
14.718   4.51   1.58  86.1
14.968   4.51   1.58  84.2
15.218   4.51   1.58  83.4
15.468   4.51   1.58  91.1
15.718   4.51   1.58  85.4
15.968   4.51   1.58  89.2
16.218   4.51   1.58  81.4
16.468   4.51   1.58  79.1
16.718   4.51   1.58  83.4
16.968   4.51   1.58  81.0
17.218   4.51   1.58  81.9
17.468   4.51   1.58  81.4
17.718   4.51   1.58  83.2
17.968   4.51   1.58  86.3
18.218   4.51   1.58  90.5
18.468   4.51   1.58  91.4
