28
-0.86   3.43  0.39
-0.86   2.48  0.39
 0.35   3.43  0.39
 0.35   2.32  0.39
 0.35   1.60  0.39
 0.35   0.95  0.39
 0.35   0.40  0.39
 0.35  -0.45  0.39
 0.85  -0.45  0.39
 1.25  -0.40  0.39
 1.85  -0.35  0.39
 1.85   0.25  0.39
 1.85   0.95  0.39
 1.85   1.60  0.39
 1.85   2.32  0.39
 1.85   3.30  0.39
 0.85   2.32  0.39
-2.08   3.15  0.39
-2.08   1.96  0.39
-2.08   1.12  0.39
-2.08   0.45  0.39
-2.48  -0.23  0.39
-2.35  -0.66  0.39
-2.35  -1.31  0.39
-1.75  -3.35  0.39
-0.85  -3.35  0.39
 0.25  -3.35  0.39
 1.15  -3.35  0.39
